adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
False,"[18, 80]",278,en,The Shawshank Redemption,136.776,1994-09-23,The Shawshank Redemption,8.704,25822
False,"[18, 80]",238,en,The Godfather,107.889,1972-03-14,The Godfather,8.695,19602
False,"[18, 80]",240,en,The Godfather Part II,71.355,1974-12-20,The Godfather Part II,8.576,11849
False,"[18, 36, 10752]",424,en,Schindler's List,79.614,1993-12-15,Schindler's List,8.566,15229
False,"[16, 10751, 14]",129,ja,千と千尋の神隠し,120.883,2001-07-20,Spirited Away,8.541,15705
False,[18],389,en,12 Angry Men,54.653,1957-04-10,12 Angry Men,8.54,8131
False,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,36.258,1995-10-20,Dilwale Dulhania Le Jayenge,8.533,4357
False,"[18, 28, 80, 53]",155,en,The Dark Knight,86.553,2008-07-16,The Dark Knight,8.515,31644
False,"[35, 53, 18]",496243,ko,기생충,90.251,2019-05-30,Parasite,8.511,17301
False,"[14, 18, 80]",497,en,The Green Mile,86.473,1999-12-10,The Green Mile,8.507,16629
False,"[16, 10749, 18]",372058,ja,君の名は。,83.851,2016-08-26,Your Name.,8.498,10845
False,"[53, 80]",680,en,Pulp Fiction,108.788,1994-09-10,Pulp Fiction,8.489,26810
False,"[12, 14, 28]",122,en,The Lord of the Rings: The Return of the King,118.371,2003-12-01,The Lord of the Rings: The Return of the King,8.478,23174
False,"[35, 18, 10749]",13,en,Forrest Gump,122.359,1994-06-23,Forrest Gump,8.476,26350
False,[37],429,it,"Il buono, il brutto, il cattivo",85.664,1966-12-22,"The Good, the Bad and the Ugly",8.468,8147
False,"[18, 80]",769,en,GoodFellas,60.325,1990-09-12,GoodFellas,8.466,12251
False,"[16, 18, 10752]",12477,ja,火垂るの墓,0.6,1988-04-16,Grave of the Fireflies,8.463,5162
False,"[18, 10749]",11216,it,Nuovo Cinema Paradiso,35.524,1988-11-17,Cinema Paradiso,8.456,4151
False,"[35, 18]",637,it,La vita è bella,49.828,1997-12-20,Life Is Beautiful,8.453,12631
False,"[28, 18]",346,ja,七人の侍,37.904,1954-04-26,Seven Samurai,8.453,3436
